$dayjs,$dayjs
$employee,$employee
$translate,$translate
...Fetching Employees,...Obteniendo empleados
"<b>Base</b> amount has not been set for the following employee(s): {0}","El monto <b>Base</b> no se ha establecido para los siguientes empleados: {0}"
<h3>Help</h3>,<h3>Ayuda</h3>
<p>Notes:</p>,<p>Notas:</p>
<ol>,<ol>
<li>Use field <code>base</code> for using base salary of the Employee</li>,<li>Use el campo <code>base</code> para el salario base del empleado</li>
<li>Use Salary Component abbreviations in conditions and formulas. <code>BS = Basic Salary</code></li>,<li>Use abreviaturas de componentes salariales en condiciones y fórmulas. <code>BS = Salario Básico</code></li>
"<li>Use field name for employee details in conditions and formulas. <code>Employment Type = employment_type</code><code>Branch = branch</code></li>","<li>Use el nombre del campo para detalles del empleado en condiciones y fórmulas. <code>Tipo de Empleo = employment_type</code><code>Sucursal = branch</code></li>"
"<li>Use field name from Salary Slip in conditions and formulas. <code>Payment Days = payment_days</code><code>Leave without pay = leave_without_pay</code></li>","<li>Use el nombre del campo del recibo de salario en condiciones y fórmulas. <code>Días de Pago = payment_days</code><code>Licencia sin Sueldo = leave_without_pay</code></li>"
<li>Direct Amount can also be entered based on Condition. See example 3</li>,<li>También se puede ingresar un monto directo basado en una condición. Ver ejemplo 3</li>
</ol>,</ol>
<h4>Examples</h4>,<h4>Ejemplos</h4>
<li>Calculating Basic Salary based on <code>base</code>,<li>Cálculo del Salario Básico basado en <code>base</code>
<code>Condition: base &lt; 10000</code>,<code>Condición: base &lt; 10000</code>
<code>Formula: base * .2</code>,<code>Fórmula: base * .2</code>
<li>Calculating HRA based on Basic Salary<code>BS</code>,<li>Cálculo de HRA basado en el Salario Básico <code>BS</code>
<code>Condition: BS &gt; 2000</code>,<code>Condición: BS &gt; 2000</code>
<code>Formula: BS * .1</code>,<code>Fórmula: BS * .1</code>
<li>Calculating TDS based on Employment Type<code>employment_type</code>,<li>Cálculo de TDS basado en el Tipo de Empleo <code>employment_type</code>
<code>Condition: employment_type=="Intern"</code>,<code>Condición: employment_type=="Pasante"</code>
<code>Amount: 1000</code>,<code>Monto: 1000</code>
<h4>Condition Examples</h4>,<h4>Ejemplos de Condiciones</h4>
"<li>Applying tax if employee born between 31-12-1937 and 01-01-1958 (Employees aged 60 to 80)<br>","<li>Aplicar impuesto si el empleado nació entre 31-12-1937 y 01-01-1958 (Empleados de 60 a 80 años)<br>"
"<code>Condition: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code>","<code>Condición: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code>"
<li>Applying tax by employee gender<br>,<li>Aplicar impuesto por género del empleado<br>
<code>Condition: gender=="Male"</code>,<code>Condición: gender=="Masculino"</code>
<li>Applying tax by Salary Component<br>,<li>Aplicar impuesto por Componente Salarial<br>
<code>Condition: base &gt; 10000</code>,<code>Condición: base &gt; 10000</code>
<h5>Employees on Half Day</h5>,<h5>Empleados en Media Jornada</h5>
<h5>Unmarked Employees</h5>,<h5>Empleados sin Marcar</h5>
<hr>,<hr>
"<table class='table table-bordered'><tr><th>{0}</th><th>{1}</th></tr>","<table class='table table-bordered'><tr><th>{0}</th><th>{1}</th></tr>"
Accounts not set for Salary Component {0},Cuentas no configuradas para el Componente Salarial {0}
Action on Submission,Acción al Enviar
"Actual balances aren't available because the leave application spans over different leave allocations. You can still apply for leaves which would be compensated during the next allocation.","Los saldos reales no están disponibles porque la solicitud de licencia abarca diferentes asignaciones. Aún puede solicitar licencias que serán compensadas en la próxima asignación."
Add Day-wise Dates,Agregar fechas por día
Add Employee Property,Agregar propiedad del empleado
Add Feedback,Agregar retroalimentación
Add unused leaves from previous leave period's allocation to this allocation,Agregar licencias no utilizadas del período anterior a esta asignación
Added tax components from the Salary Component master as the salary structure didn't have any tax component.,Se agregaron componentes fiscales del maestro de componentes ya que la estructura salarial no tenía ninguno.
Additional Salary for this salary component with {0} enabled already exists for this date,Ya existe un salario adicional para este componente con {0} habilitado para esta fecha
"Advance Account is mandatory. Please set the <a href=""/app/company/{0}#default_employee_advance_account"" target=""_blank"">Default Employee Advance Account</a> in the Company record {0} and submit this document.","La cuenta de anticipo es obligatoria. Por favor configure la cuenta de anticipo por defecto en el registro de la empresa {0} y envíe este documento."
All Goals,Todos los objetivos
All allocated assets should be returned before submission,Todos los activos asignados deben ser devueltos antes del envío
All the mandatory tasks for employee creation are not completed yet.,Aún no se han completado todas las tareas obligatorias para la creación del empleado.
Allocate Based On Leave Policy,Asignar según la política de licencias
Allocate Leave,Asignar licencia
Allocate leaves to {0} employee(s)?,¿Asignar licencias a {0} empleado(s)?
Allocate on Day,Asignar en el día
Allocating Leave,Asignando licencia
Allow Employee Checkin from Mobile App,Permitir registro de asistencia desde la App móvil
Allow Geolocation Tracking,Permitir seguimiento de geolocalización
Allow Leave Application After (Working Days),Permitir solicitud de licencia después de (días laborables)
Allow Multiple Shift Assignments for Same Date,Permitir múltiples asignaciones de turno para la misma fecha
Allow Over Allocation,Permitir sobreasignación
Allows allocating more leaves than the number of days in the allocation period.,Permite asignar más licencias que el número de días en el período de asignación.
Amount Based on Formula,Monto basado en fórmula
Amount claimed via Expense Claim,Monto reclamado vía Reclamo de Gastos
Amount of expense,Monto del gasto
Amount paid against this encashment,Monto pagado por este canje
Amount scheduled for deduction via salary,Monto programado para deducción vía nómina
Amount should not be less than zero,El monto no debe ser menor a cero
Amount that has been paid against this advance,Monto que ha sido pagado contra este anticipo
"An amount of {0} already claimed for the component {1}, set the amount equal or greater than {2}","Un monto de {0} ya ha sido reclamado para el componente {1}, establezca el monto igual o mayor a {2}"
An attendance record is linked to this checkin. Please cancel the attendance before modifying time.,Un registro de asistencia está vinculado a este ingreso. Por favor cancele la asistencia antes de modificar la hora.
Annual Allocation Exceeded,Asignación anual excedida
Annual Taxable Amount,Monto gravable anual
"Any other remarks, noteworthy effort that should go in the records","Cualquier otro comentario o esfuerzo notable que deba quedar en el registro"
Applicable Earnings Component,Componente de ingresos aplicable
Applicant Rating,Calificación del postulante
Applications received:,Solicitudes recibidas:
Appraisal KRA,KRA de evaluación
Appraisal Linking,Vinculación de evaluación
Appraisal Overview,Resumen de evaluación
Appraisal Template Missing,Falta la plantilla de evaluación
Appraisal Template not found for some designations.,Plantilla de evaluación no encontrada para algunas designaciones.
Appraisal creation is queued. It may take a few minutes.,La creación de evaluaciones está en cola. Puede tardar unos minutos.
"Appraisal {0} already exists for Employee {1} for this Appraisal Cycle or overlapping period","La evaluación {0} ya existe para el empleado {1} para este ciclo o período superpuesto"
Appraisal {0} does not belong to Employee {1},La evaluación {0} no pertenece al empleado {1}
Appraisee,Evaluado
Appraisees: {0},Evaluados: {0}
Are you sure you want to delete the attachment,¿Está seguro de que desea eliminar el adjunto?
Are you sure you want to email the selected salary slips?,¿Está seguro de que desea enviar por correo los recibos de sueldo seleccionados?
Are you sure you want to reject the Employee Referral?,¿Está seguro de que desea rechazar la referencia del empleado?
"Asset Recovery Cost for {0}: {1}","Costo de recuperación de activos para {0}: {1}"
Assets Allocated,Activos asignados
Assign Salary Structure to {0} employee(s)?,¿Asignar estructura salarial a {0} empleado(s)?
Assign Shift,Asignar turno
Assign Shift Schedule,Asignar horario de turnos
Assign Structure,Asignar estructura
Assigning Salary Structure,Asignando estructura salarial
Assigning Structure...,Asignando estructura...
Associate Job Opening,Asociar vacante
Associated Document,Documento asociado
Associated Document Type,Tipo de documento asociado
At least one interview has to be selected.,Se debe seleccionar al menos una entrevista.
Attach Proof,Adjuntar comprobante
Attendance Settings,Configuración de asistencia
Attendance Warnings,Advertencias de asistencia
"Attendance date {0} can not be less than employee {1}'s joining date: {2}","La fecha de asistencia {0} no puede ser anterior a la fecha de ingreso del empleado {1}: {2}"
Attendance for all the employees under this criteria has been marked already.,La asistencia para todos los empleados bajo este criterio ya ha sido marcada.
"Attendance for employee {0} is already marked for an overlapping shift {1}: {2}","La asistencia del empleado {0} ya está marcada para un turno superpuesto {1}: {2}"
"Attendance for employee {0} is already marked for the date {1}: {2}","La asistencia del empleado {0} ya está marcada para la fecha {1}: {2}"
Attendance for employee {0} is already marked for the following dates: {1},La asistencia del empleado {0} ya está marcada para las siguientes fechas: {1}
Attendance for the following dates will be skipped/overwritten on submission,La asistencia para las siguientes fechas será omitida/sobrescrita al enviar
Attendance from {0} to {1} has already been marked for the Employee {2},La asistencia de {0} a {1} ya ha sido marcada para el empleado {2}
Attendance has been marked for all the employees between the selected payroll dates.,Se ha marcado la asistencia para todos los empleados entre las fechas de nómina seleccionadas.
"Attendance is pending for these employees between the selected payroll dates. Mark attendance to proceed. Refer {0} for details.","La asistencia está pendiente para estos empleados entre las fechas de nómina. Marque asistencia para proceder. Ver {0} para detalles."
Attendance marked successfully,Asistencia marcada exitosamente
AttendanceRequestListView,VistaListaSolicitudAsistencia
Attrition Count,Recuento de deserción
Automated Based on Goal Progress,Automatizado basado en el progreso de objetivos
"Automatically fetches all assets allocated to the employee, if any",Obtiene automáticamente todos los activos asignados al empleado (si los hay)
Automatically update Last Sync of Checkin,Actualizar automáticamente la última sincronización de ingreso
Available Leave(s),Licencias disponibles
Average Feedback Score,Puntuación promedio de retroalimentación
Average Rating,Calificación promedio
"Average of Goal Score, Feedback Score, and Self Appraisal Score",Promedio de puntuación de objetivos y retroalimentación
Average rating of demonstrated skills,Calificación promedio de habilidades demostradas
Avg Feedback Score,Prom. puntuación retroalimentación
Avg Utilization,Utilización promedio
Avg Utilization (Billed Only),Utilización promedio (Solo facturada)
"Backdated Leave Application is restricted. Please set the {} in {}","La solicitud de licencia retroactiva está restringida. Configure el {} en {}"
"Base, Variable & Leave Encashment","Base, Variable y Canje de Licencias"
Below is the list of upcoming holidays for you:,A continuación la lista de sus próximos feriados:
Bill Amount,Monto de la factura
Billed Hours,Horas facturadas
Billed Hours (B),Horas facturadas (B)
Birthdays,Cumpleaños
Boarding Status,Estado de incorporación
Bonus,Bono
Branch: {0},Sucursal: {0}
Bulk Leave Policy Assignment,Asignación masiva de política de licencias
Bulk Salary Structure Assignment,Asignación masiva de estructura salarial
